"wine_id","grape_id","grapes"
79262,2,"Cabernet Sauvignon"
79265,2,"Cabernet Sauvignon"
79266,2,"Cabernet Sauvignon"
79269,2,"Cabernet Sauvignon"
79272,2,"Cabernet Sauvignon"
79273,2,"Cabernet Sauvignon"
79385,17,"Sauvignon Blanc"
79733,3,"Cabernet Franc"
79762,2,"Cabernet Sauvignon"
79876,2,"Cabernet Sauvignon"
80045,2,"Cabernet Sauvignon"
80080,9,"Malbec"
80279,5,"Chardonnay"
80456,2,"Cabernet Sauvignon"
80458,2,"Cabernet Sauvignon"
80464,2,"Cabernet Sauvignon"
80472,2,"Cabernet Sauvignon"
81848,2,"Cabernet Sauvignon"
81864,2,"Cabernet Sauvignon"
81907,2,"Cabernet Sauvignon"
81916,2,"Cabernet Sauvignon"
82019,2,"Cabernet Sauvignon"
82195,101,"Cannonau"
82203,12,"Nebbiolo"
82235,2,"Cabernet Sauvignon"
82395,12,"Nebbiolo"
82454,2,"Cabernet Sauvignon"
82472,3,"Cabernet Franc"
82613,2,"Cabernet Sauvignon"
82690,2,"Cabernet Sauvignon"
82694,10,"Merlot"
82779,5,"Chardonnay"
82831,2,"Cabernet Sauvignon"
82835,2,"Cabernet Sauvignon"
83070,2,"Cabernet Sauvignon"
83380,2,"Cabernet Sauvignon"
83520,2,"Cabernet Sauvignon"
83594,10,"Merlot"
83596,10,"Merlot"
83809,2,"Cabernet Sauvignon"
84065,43,"Corvina"
84066,43,"Corvina"
84287,1,"Shiraz/Syrah"
84852,2,"Cabernet Sauvignon"
84898,5,"Chardonnay"
85917,2,"Cabernet Sauvignon"
86362,2,"Cabernet Sauvignon"
86373,2,"Cabernet Sauvignon"
86705,10,"Merlot"
87073,1,"Shiraz/Syrah"
87426,2,"Cabernet Sauvignon"
87571,3,"Cabernet Franc"
87674,2,"Cabernet Sauvignon"
88009,16,"Sangiovese"
88146,2,"Cabernet Sauvignon"
88318,14,"Pinot Noir"
88470,12,"Nebbiolo"
89013,19,"Tempranillo"
89390,1,"Shiraz/Syrah"
89624,2,"Cabernet Sauvignon"
89753,43,"Corvina"
89884,10,"Merlot"
90577,3,"Cabernet Franc"
91020,2,"Cabernet Sauvignon"
92492,2,"Cabernet Sauvignon"
92710,31,"Barbera"
94825,2,"Cabernet Sauvignon"
94966,2,"Cabernet Sauvignon"
94970,3,"Cabernet Franc"
95444,2,"Cabernet Sauvignon"
95542,1,"Shiraz/Syrah"
96193,2,"Cabernet Sauvignon"
97042,2,"Cabernet Sauvignon"
97051,2,"Cabernet Sauvignon"
